order_id,date,product_id,quantity,unit_price,revenue
O1001,2026-05-02,P001,2,149.99,299.98
O1002,2026-05-03,P002,1,45.00,45.00
O1003,2026-05-04,P003,1,399.00,399.00
O1004,2026-05-05,P004,1,599.00,599.00
O1005,2026-05-06,P005,3,39.99,119.97
O1006,2026-05-07,P006,2,129.00,258.00
O1007,2026-05-09,P007,1,89.00,89.00
O1008,2026-05-10,P008,1,75.00,75.00
O1009,2026-05-12,P009,4,19.99,79.96
O1010,2026-05-13,P010,2,99.00,198.00
O1011,2026-05-14,P001,1,149.99,149.99
O1012,2026-05-15,P003,2,399.00,798.00
O1013,2026-05-16,P005,5,39.99,199.95
O1014,2026-05-19,P002,3,45.00,135.00
O1015,2026-05-20,P006,1,129.00,129.00
O1016,2026-05-21,P010,1,99.00,99.00
O1017,2026-05-22,P004,2,599.00,1198.00
O1018,2026-05-23,P007,3,89.00,267.00
O1019,2026-05-26,P009,2,19.99,39.98
O1020,2026-05-27,P008,1,75.00,75.00
O1021,2026-05-28,P001,3,149.99,449.97
O1022,2026-05-29,P002,2,45.00,90.00
O1023,2026-05-30,P003,1,399.00,399.00
