order_id,date,product_id,quantity,unit_price,revenue
O2001,2026-06-02,P001,3,149.99,449.97
O2002,2026-06-02,P002,2,45.00,90.00
O2003,2026-06-03,P003,1,399.00,399.00
O2004,2026-06-04,P004,2,599.00,1198.00
O2005,2026-06-05,P005,4,39.99,159.96
O2006,2026-06-05,P006,3,129.00,387.00
O2007,2026-06-06,P007,2,89.00,178.00
O2008,2026-06-06,P008,1,75.00,75.00
O2009,2026-06-09,P009,6,19.99,119.94
O2010,2026-06-09,P010,3,99.00,297.00
O2011,2026-06-10,P001,2,149.99,299.98
O2012,2026-06-10,P003,3,399.00,1197.00
O2013,2026-06-11,P005,5,39.99,199.95
O2014,2026-06-11,P002,4,45.00,180.00
O2015,2026-06-12,P006,2,129.00,258.00
O2016,2026-06-12,P010,2,99.00,198.00
O2017,2026-06-13,P004,3,599.00,1797.00
O2018,2026-06-13,P007,4,89.00,356.00
O2019,2026-06-16,P009,3,19.99,59.97
O2020,2026-06-16,P008,2,75.00,150.00
O2021,2026-06-17,P001,4,149.99,599.96
O2022,2026-06-17,P002,3,45.00,135.00
O2023,2026-06-18,P003,2,399.00,798.00
O2024,2026-06-18,P011,1,249.99,249.99
O2025,2026-06-19,P005,6,39.99,239.94
O2026,2026-06-19,P006,1,129.00,129.00
O2027,2026-06-20,P010,4,99.00,396.00
O2028,2026-06-23,P001,2,149.99,299.98
O2029,2026-06-23,P007,3,89.00,267.00
O2030,2026-06-24,P004,1,599.00,599.00
,2026-06-24,P002,1,45.00,45.00
O2032,2026-06-25,P003,1,399.00,399.00
O2033,2026-06-25,P005,3,39.99,119.97
O2028,2026-06-26,P006,2,129.00,258.00
O2035,2026-06-26,P010,1,99.00,99.00
O2036,2026-06-27,P001,3,149.99,449.97
O2037,2026-06-27,P009,4,19.99,79.96
O2038,2026-06-30,P008,1,75.00,75.00
O2039,2026-06-30,P002,2,45.00,90.00
