je_id,period,entity_id,account_id,debit,credit
JE2001,2026-06,E01,4000,0.0,310000.0
JE2002,2026-06,E01,5000,168000.0,0.0
JE2003,2026-06,E01,5100,45000.0,0.0
JE2004,2026-06,E01,5200,8000.0,0.0
JE2005,2026-06,E01,5300,15000.0,0.0
JE2006,2026-06,E01,5400,5000.0,0.0
JE2007,2026-06,E01,1000,50000.0,0.0
JE2008,2026-06,E01,1100,310000.0,0.0
JE2009,2026-06,E01,2000,0.0,168000.0
JE2010,2026-06,E02,4000,0.0,98000.0
JE2011,2026-06,E02,5000,54000.0,0.0
JE2012,2026-06,E02,5100,18000.0,0.0
JE2013,2026-06,E02,5200,3000.0,0.0
JE2014,2026-06,E04,4100,0.0,20000.0
JE2015,2026-06,E01,4100,20000.0,0.0
JE2016,2026-06,E03,4000,0.0,42000.0
JE2017,2026-06,E03,5000,24000.0,0.0
JE2018,2026-06,E03,5100,9000.0,0.0
,2026-06,E01,5300,4000.0,0.0
JE2020,2026-06,E01,1500,120000.0,0.0
JE2020,2026-06,E01,2500,0.0,120000.0
JE2022,2026-06,E01,3000,0.0,50000.0
JE2023,2026-06,E01,3100,0.0,69000.0
JE2024,2026-06,E01,1200,80000.0,0.0
JE2025,2026-06,E01,2100,0.0,35000.0
JE2026,2026-06,E02,1000,20000.0,0.0
JE2027,2026-06,E02,1100,98000.0,0.0
JE2028,2026-06,E02,2000,0.0,54000.0
JE2029,2026-06,E03,1000,10000.0,0.0
JE2030,2026-06,E03,1100,42000.0,0.0
JE2031,2026-06,E03,2000,0.0,24000.0
