po_id,vendor_id,product_id,order_date,expected_delivery,actual_delivery,quantity,unit_cost,total_cost,status
PO1001,V001,P001,2026-05-01,2026-05-15,2026-05-14,100,125.00,12500.00,Received
PO1002,V002,P002,2026-05-02,2026-05-07,2026-05-07,500,2.50,1250.00,Received
PO1003,V003,P003,2026-05-03,2026-05-24,2026-05-23,200,8.75,1750.00,Received
PO1004,V004,P004,2026-05-05,2026-06-02,2026-06-01,50,45.00,2250.00,Received
PO1005,V005,P005,2026-05-06,2026-05-07,2026-05-07,30,15.00,450.00,Received
PO1006,V006,P006,2026-05-08,2026-05-22,2026-05-24,150,12.00,1800.00,Received
PO1007,V007,P007,2026-05-10,2026-05-31,2026-05-30,75,89.00,6675.00,Received
PO1008,V001,P001,2026-05-12,2026-05-26,2026-05-27,80,125.00,10000.00,Received
PO1009,V002,P008,2026-05-14,2026-05-19,2026-05-19,300,1.80,540.00,Received
PO1010,V003,P003,2026-05-15,2026-06-05,2026-06-04,400,8.75,3500.00,Received
PO1011,V001,P007,2026-05-18,2026-06-01,2026-06-02,60,89.00,5340.00,Received
PO1012,V004,P004,2026-05-20,2026-06-17,2026-06-16,40,45.00,1800.00,Received
PO1013,V005,P005,2026-05-22,2026-05-23,2026-05-23,20,15.00,300.00,Received
PO1014,V006,P006,2026-05-25,2026-06-08,2026-06-10,200,12.00,2400.00,Received
PO1015,V007,P007,2026-05-28,2026-06-18,2026-06-17,90,89.00,8010.00,Received
